symbol,name,price,pct_change,market_cap,security_type,last_close,last_volume,avg_volume_20d,volume_ratio,day_change_pct,score,reasons,float_shares
CYCU,"Cycurion, Inc. Common Stock",0.31,8.089,3556502.0,Common,0.3100000023841858,14683100.0,678435.0,21.642603934054108,8.013937933496585,42.0,"['Volume 21.6x 20d avg', 'Day change +8.0%', 'Low float (7.4M sh)', 'Micro-cap (<$50M)']",7426331.0
RANI,"Rani Therapeutics Holdings, Inc. Class A Common Stock",0.8967,29.768,111085773.0,Common,0.8970000147819519,6281800.0,712265.0,8.819470281426154,29.81187186536492,39.9,"['Volume 8.8x 20d avg', 'Day change +29.8%']",69146454.0
FEBO,Fenbo Holdings Limited Class A Ordinary Shares,0.68,-16.049,7522500.0,Common,0.6800000071525574,7500.0,3690.0,2.032520325203252,-16.049382080121152,38.3,"['Volume 2.0x 20d avg', 'Day change -16.0%', 'Very low float (3.1M sh)', 'Micro-cap (<$50M)']",3062543.0
ITOC,iTonic Holdings Ltd Class A Ordinary Shares,0.2947,5.288,5024635.0,Common,0.29499998688697815,440600.0,123705.0,3.561699203750859,5.357137725365427,38.0,"['Volume 3.6x 20d avg', 'Low float (15.6M sh)', 'Micro-cap (<$50M)']",15643205.0
HKPD,"Cellyan Biotechnology Co., Ltd Class A Ordinary Shares",0.3528,-7.158,14581750.0,Common,0.3529999852180481,22053200.0,302970.0,72.79004521899859,-7.1052658822067905,38.0,"['Volume 72.8x 20d avg', 'Low float (7.4M sh)', 'Micro-cap (<$50M)']",7355370.0
STKH,Steakholder Foods Ltd. American Depositary Shares,0.5602,14.842,994393.0,ADS/ADR,0.5600000023841858,16321700.0,56400.0,289.3918439716312,14.754097559733351,37.4,"['Volume 289.4x 20d avg', 'Day change +14.8%', 'Micro-cap (<$50M)']",4554427430.0
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares,0.644,12.903,24825178.0,Common,0.6439999938011169,912600.0,263850.0,3.458783399658897,12.982456470570519,36.1,"['Volume 3.5x 20d avg', 'Day change +13.0%', 'Micro-cap (<$50M)']",38529139.0
FFAI,Faraday Future Intelligent Electric Inc. Class A Common Stock,0.0793,-28.943,28887696.0,Common,0.13379999995231628,85631146.0,21515738.6,3.979930579747794,8.252428325685134,34.1,"['Volume 4.0x 20d avg', 'Day change +8.3%', 'Micro-cap (<$50M)']",298233295.0
RSVRW,"Reservoir Media, Inc. Warrant",0.02,-4.762,1313234.0,Warrant,0.019999999552965164,10300.0,3410.0,3.0205278592375366,-4.761905606641802,33.2,"['Volume 3.0x 20d avg', 'Low float (14.3M sh)', 'Micro-cap (<$50M)']",14316880.0
GELS,Gelteq Limited Ordinary Shares,0.6792,11.363,7274951.0,Common,0.6790000200271606,248800.0,104675.0,2.3768808215906376,11.311476082610863,32.4,"['Volume 2.4x 20d avg', 'Day change +11.3%', 'Low float (5.2M sh)', 'Micro-cap (<$50M)']",5150874.0
